			Bx	By	Bz
-300	-160	-80	-0.061983018	1.487391341	-0.016229069
-300	-160	-60	-0.054015691	1.476977066	-0.012100084
-300	-160	-40	-0.053401804	1.480844637	-0.006696802
-300	-160	-20	-0.04923662	1.477210494	-0.003624515
-300	-160	0	-0.046446869	1.4760058	0.000941639
-300	-160	20	-0.047725418	1.476360454	0.004423292
-300	-160	40	-0.049003967	1.476715108	0.007904944
-300	-160	60	-0.060880481	1.481010815	0.018400872
-300	-160	80	-0.061991941	1.479836136	0.018858408
-300	-160	100	-0.065941293	1.484823178	0.026920747
-300	-160	120	-0.071265588	1.490170137	0.030307934
-300	-160	140	-0.082535041	1.498676598	0.037875986
-300	-160	160	-0.092022538	1.503988367	0.050778544
-300	-160	180	-0.105979401	1.513057302	0.064995174
-300	-160	200	-0.125152073	1.511023274	0.080966224
-300	-160	220	-0.140622971	1.52326085	0.103263259
-300	-160	240	-0.16026121	1.53132008	0.131427535
-300	-160	260	-0.186429895	1.539449447	0.16625546
-300	-160	280	-0.21665037	1.548315693	0.208255648
-300	-160	300	-0.248404792	1.55307668	0.255506836
-300	-140	-300	-0.24650987	1.446407931	-0.24941167
-300	-140	-280	-0.216206626	1.462148286	-0.202193092
-300	-140	-260	-0.183869986	1.466552392	-0.163728109
-300	-140	-240	-0.16516375	1.471467535	-0.136966219
-300	-140	-220	-0.145927832	1.462000877	-0.114637563
-300	-140	-200	-0.128200354	1.463882616	-0.085394664
-300	-140	-180	-0.113992789	1.461878019	-0.06863031
-300	-140	-160	-0.105584191	1.459325795	-0.053265553
-300	-140	-140	-0.092968557	1.456084911	-0.046057068
-300	-140	-120	-0.080813093	1.457134432	-0.033004957
-300	-140	-100	-0.068056218	1.45331594	-0.029671135
-300	-140	-80	-0.068870343	1.453227352	-0.018585072
-300	-140	-60	-0.066057472	1.453821866	-0.013369303
-300	-140	-40	-0.063351519	1.453383118	-0.00870563
-300	-140	-20	-0.063161304	1.449793673	-0.00355321
-300	-140	0	-0.055271825	1.448861707	0.001296293
-300	-140	20	-0.056550374	1.449216361	0.004777946
-300	-140	40	-0.057903219	1.449556957	0.007877632
-300	-140	60	-0.065722663	1.450262686	0.016149827
-300	-140	80	-0.068178974	1.451299345	0.017811361
-300	-140	100	-0.076138396	1.452205966	0.026545755
-300	-140	120	-0.082214897	1.453054892	0.03517876
-300	-140	140	-0.093568641	1.451372673	0.043187755
-300	-140	160	-0.101890045	1.458326444	0.056051353
-300	-140	180	-0.116409179	1.459583904	0.071760531
-300	-140	200	-0.128463839	1.463452344	0.088888842
-300	-140	220	-0.146089013	1.465952952	0.110860103
-300	-140	240	-0.170727772	1.472424231	0.137922031
-300	-140	260	-0.188977682	1.464820255	0.167080795
-300	-140	280	-0.214845167	1.457414115	0.205478491
-300	-140	300	-0.241137801	1.44840749	0.246650285
-300	-120	-300	-0.229613643	1.363215266	-0.230237885
-300	-120	-280	-0.204599971	1.375345935	-0.189741381
-300	-120	-260	-0.179780365	1.39163766	-0.158955191
-300	-120	-240	-0.160384768	1.404505584	-0.130206992
-300	-120	-220	-0.145373104	1.417743129	-0.111607577
-300	-120	-200	-0.126783559	1.419818597	-0.082790941
-300	-120	-180	-0.11349267	1.419288119	-0.070512855
-300	-120	-160	-0.102024173	1.420773998	-0.058414639
-300	-120	-140	-0.092010264	1.41985553	-0.038878968
-300	-120	-120	-0.080222372	1.423318753	-0.032101972
-300	-120	-100	-0.073969915	1.422873961	-0.027152544
-300	-120	-80	-0.068408359	1.424346848	-0.018930715
-300	-120	-60	-0.067756217	1.424001204	-0.01427651
-300	-120	-40	-0.064912612	1.42299871	-0.013023775
-300	-120	-20	-0.063845869	1.423070384	-0.004027097
-300	-120	0	-0.060656279	1.422596498	0.001280941
-300	-120	20	-0.065375331	1.422072269	0.0051326
-300	-120	40	-0.066649321	1.421765601	0.009200204
-300	-120	60	-0.070564844	1.419514556	0.013898782
-300	-120	80	-0.071421585	1.420633924	0.019539465
-300	-120	100	-0.078586312	1.422644325	0.028293294
-300	-120	120	-0.087090889	1.425386947	0.038290422
-300	-120	140	-0.094907079	1.421394858	0.046812709
-300	-120	160	-0.106541034	1.420036728	0.060549363
-300	-120	180	-0.112609298	1.418557897	0.070456548
-300	-120	200	-0.127504499	1.416701831	0.089029844
-300	-120	220	-0.140272674	1.40747361	0.106140996
-300	-120	240	-0.160026028	1.398465472	0.131426528
-300	-120	260	-0.179802011	1.391829034	0.160475005
-300	-120	280	-0.201466816	1.374182626	0.191096637
-300	-120	300	-0.232226075	1.356051376	0.236845868
-300	-100	-300	-0.206824844	1.288892703	-0.195581758
-300	-100	-280	-0.181613027	1.311470742	-0.170065452
-300	-100	-260	-0.155971706	1.333237019	-0.139238189
-300	-100	-240	-0.14330351	1.349372524	-0.118393067
-300	-100	-220	-0.138285707	1.362154172	-0.095883865
-300	-100	-200	-0.114822024	1.368382344	-0.082423412
-300	-100	-180	-0.106118058	1.381620837	-0.064824701
-300	-100	-160	-0.095457969	1.38683331	-0.052779663
-300	-100	-140	-0.085600768	1.394584541	-0.042573216
-300	-100	-120	-0.077782155	1.394437528	-0.036435302
-300	-100	-100	-0.079883612	1.392431982	-0.024633953
-300	-100	-80	-0.07359915	1.394950572	-0.01844866
-300	-100	-60	-0.066835964	1.395232789	-0.014673736
-300	-100	-40	-0.064538219	1.396618452	-0.009804003
-300	-100	-20	-0.062455768	1.397210514	-0.003939865
-300	-100	0	-0.060358711	1.397836554	0.000989149
-300	-100	20	-0.065665473	1.395868878	0.002459308
-300	-100	40	-0.065002671	1.400430531	0.009258967
-300	-100	60	-0.068291211	1.400336758	0.01435233
-300	-100	80	-0.071579751	1.400242986	0.019445693
-300	-100	100	-0.077294702	1.393763077	0.026453982
-300	-100	120	-0.081266637	1.391250959	0.03318719
-300	-100	140	-0.093627093	1.39432316	0.044212944
-300	-100	160	-0.098196633	1.384657844	0.054171028
-300	-100	180	-0.10638927	1.379207397	0.066961295
-300	-100	200	-0.115757472	1.370113523	0.080523181
-300	-100	220	-0.128143387	1.360535626	0.098018037
-300	-100	240	-0.142551068	1.347533131	0.117435564
-300	-100	260	-0.161385426	1.329024973	0.143876519
-300	-100	280	-0.181246895	1.309566255	0.171406752
-300	-100	300	-0.197533584	1.279548894	0.20380987
-300	-80	-300	-0.164646871	1.218939568	-0.164726887
-300	-80	-280	-0.151668606	1.254176397	-0.144142041
-300	-80	-260	-0.136354214	1.279579643	-0.120364432
-300	-80	-240	-0.119321541	1.297283395	-0.103993518
-300	-80	-220	-0.109662948	1.318626002	-0.083264601
-300	-80	-200	-0.112180141	1.327265189	-0.074452755
-300	-80	-180	-0.095446064	1.344921619	-0.058009074
-300	-80	-160	-0.090352353	1.354847328	-0.047871921
-300	-80	-140	-0.07391559	1.358845205	-0.034195975
-300	-80	-120	-0.070982767	1.364891901	-0.027930877
-300	-80	-100	-0.065663322	1.370909307	-0.023501844
-300	-80	-80	-0.062471658	1.374245781	-0.018489923
-300	-80	-60	-0.059651471	1.376373787	-0.014761663
-300	-80	-40	-0.060420972	1.375736808	-0.00841834
-300	-80	-20	-0.058262222	1.376600798	-0.003313826
-300	-80	0	-0.054939625	1.378449428	0.002077056
-300	-80	20	-0.058486323	1.378763333	0.005055252
-300	-80	40	-0.062231358	1.378909223	0.007410826
-300	-80	60	-0.064185944	1.377126836	0.014844354
-300	-80	80	-0.06324195	1.369065815	0.014016156
-300	-80	100	-0.06818507	1.365445369	0.024526595
-300	-80	120	-0.077741326	1.361482113	0.033930532
-300	-80	140	-0.078999645	1.354865258	0.031650192
-300	-80	160	-0.084508918	1.34986008	0.047935895
-300	-80	180	-0.098426349	1.336773799	0.052902455
-300	-80	200	-0.102509849	1.326633744	0.072619797
-300	-80	220	-0.11065552	1.315678081	0.084169489
-300	-80	240	-0.125354017	1.301829533	0.103872681
-300	-80	260	-0.132141367	1.26557869	0.119602942
-300	-80	280	-0.159553844	1.235810048	0.144727379
-300	-80	300	-0.164398931	1.213281257	0.169080036
-300	-60	-300	-0.123718078	1.178509563	-0.125374002
-300	-60	-280	-0.116260466	1.211847486	-0.113182123
-300	-60	-260	-0.105554986	1.240695016	-0.094961186
-300	-60	-240	-0.101278659	1.268227559	-0.08299041
-300	-60	-220	-0.087172852	1.286481361	-0.065010799
-300	-60	-200	-0.083807943	1.303933926	-0.057287359
-300	-60	-180	-0.074208254	1.316009811	-0.043512286
-300	-60	-160	-0.069729706	1.328130503	-0.037946212
-300	-60	-140	-0.063652243	1.337469559	-0.029114901
-300	-60	-120	-0.05821712	1.342071745	-0.023378002
-300	-60	-100	-0.052828029	1.347840972	-0.019618039
-300	-60	-80	-0.050274371	1.352003278	-0.014204755
-300	-60	-60	-0.049415431	1.356288446	-0.012060522
-300	-60	-40	-0.048230688	1.360306928	-0.010892143
-300	-60	-20	-0.044213778	1.361029978	0.001694805
-300	-60	0	-0.044414952	1.360220059	0.001492088
-300	-60	20	-0.04703223	1.358440833	0.003276026
-300	-60	40	-0.050300899	1.357924659	0.007324865
-300	-60	60	-0.050571261	1.356214915	0.011035409
-300	-60	80	-0.051018974	1.35262078	0.009596736
-300	-60	100	-0.056851716	1.348943293	0.020266876
-300	-60	120	-0.058806222	1.342295577	0.026215507
-300	-60	140	-0.064226321	1.331222377	0.032393174
-300	-60	160	-0.069667863	1.325017469	0.034767903
-300	-60	180	-0.074642746	1.316113195	0.04644968
-300	-60	200	-0.083215104	1.303032091	0.057682126
-300	-60	220	-0.087604801	1.28392423	0.065421765
-300	-60	240	-0.096915229	1.264160988	0.085144136
-300	-60	260	-0.103990192	1.238417271	0.091702183
-300	-60	280	-0.11177491	1.210516512	0.110734887
-300	-60	300	-0.12697896	1.173411044	0.128355206
-300	-40	-300	-0.088421128	1.137561727	-0.090788189
-300	-40	-280	-0.081625914	1.174882382	-0.077638283
-300	-40	-260	-0.073662861	1.210450491	-0.067603333
-300	-40	-240	-0.066617349	1.240218923	-0.055220177
-300	-40	-220	-0.061983868	1.261783382	-0.046336133
-300	-40	-200	-0.055435744	1.280602662	-0.040121963
-300	-40	-180	-0.051080475	1.29410141	-0.032971376
-300	-40	-160	-0.04908612	1.309179168	-0.025299508
-300	-40	-140	-0.043703727	1.32238675	-0.022228913
-300	-40	-120	-0.043070055	1.32459218	-0.018553724
-300	-40	-100	-0.038802926	1.329163356	-0.013421053
-300	-40	-80	-0.036316291	1.335484397	-0.009933697
-300	-40	-60	-0.035864064	1.339382406	-0.007820089
-300	-40	-40	-0.035411838	1.343280415	-0.005706482
-300	-40	-20	-0.02876474	1.350778954	-0.005795448
-300	-40	0	-0.033952051	1.346522521	0.000541603
-300	-40	20	-0.035417524	1.344547956	0.002126594
