			Bx	By	Bz
-300	-200	-240	-8.45E-02	1.25E+00	-5.41E-02
-300	-200	-220	-7.35E-02	1.23E+00	-5.74E-02
-300	-200	-200	-6.03E-02	1.21E+00	-4.14E-02
-300	-200	-180	-4.71E-02	1.20E+00	-2.54E-02
-300	-200	-160	-4.10E-02	1.18E+00	-1.81E-02
-300	-200	-140	-3.38E-02	1.17E+00	-1.81E-02
-300	-200	-120	-2.89E-02	1.16E+00	-1.53E-02
-300	-200	-100	-2.26E-02	1.16E+00	-1.23E-02
-300	-200	-80	-1.98E-02	1.16E+00	-8.59E-04
-300	-200	-60	-1.51E-02	1.15E+00	1.82E-03
-300	-200	-40	-1.69E-02	1.14E+00	-4.00E-03
-300	-200	-20	-1.69E-02	1.14E+00	-2.86E-03
-300	-200	0	-5.37E-03	1.15E+00	-1.25E-03
-300	-200	20	-5.48E-03	1.15E+00	6.75E-04
-300	-200	40	-1.67E-02	1.14E+00	5.15E-03
-300	-200	60	-1.62E-02	1.15E+00	5.86E-03
-300	-200	80	-1.57E-02	1.15E+00	6.16E-03
-300	-200	100	-1.99E-02	1.16E+00	6.32E-03
-300	-200	120	-2.56E-02	1.17E+00	1.27E-02
-300	-200	140	-3.64E-02	1.18E+00	1.66E-02
-300	-200	160	-4.35E-02	1.19E+00	2.39E-02
-300	-200	180	-5.07E-02	1.21E+00	3.12E-02
-300	-200	200	-5.78E-02	1.22E+00	3.85E-02
-300	-200	220	-6.58E-02	1.24E+00	5.73E-02
-300	-200	240	-8.67E-02	1.26E+00	7.57E-02
-300	-200	260	-1.08E-01	1.28E+00	9.41E-02
-300	-200	280	-1.34E-01	1.30E+00	1.26E-01
-300	-200	300	-1.55E-01	1.33E+00	1.61E-01
-300	-180	-300	-1.78E-01	1.26E+00	-1.80E-01
-300	-180	-280	-1.52E-01	1.24E+00	-1.44E-01
-300	-180	-260	-1.32E-01	1.22E+00	-1.16E-01
-300	-180	-240	-1.04E-01	1.20E+00	-9.20E-02
-300	-180	-220	-9.34E-02	1.20E+00	-7.06E-02
-300	-180	-200	-8.21E-02	1.18E+00	-5.58E-02
-300	-180	-180	-6.95E-02	1.17E+00	-3.99E-02
-300	-180	-160	-6.05E-02	1.16E+00	-3.10E-02
-300	-180	-140	-5.92E-02	1.14E+00	-2.95E-02
-300	-180	-120	-4.85E-02	1.15E+00	-1.58E-02
-300	-180	-100	-4.01E-02	1.14E+00	-1.48E-02
-300	-180	-80	-3.54E-02	1.14E+00	-9.22E-03
-300	-180	-60	-3.07E-02	1.13E+00	-6.54E-03
-300	-180	-40	-2.82E-02	1.13E+00	-3.65E-03
-300	-180	-20	-2.81E-02	1.13E+00	-2.51E-03
-300	-180	0	-2.95E-02	1.12E+00	-3.01E-03
-300	-180	20	-2.17E-02	1.12E+00	1.54E-03
-300	-180	40	-2.64E-02	1.12E+00	5.74E-03
-300	-180	60	-3.18E-02	1.12E+00	7.97E-03
-300	-180	80	-3.72E-02	1.13E+00	1.02E-02
-300	-180	100	-4.34E-02	1.12E+00	1.21E-02
-300	-180	120	-4.87E-02	1.13E+00	2.09E-02
-300	-180	140	-5.64E-02	1.14E+00	2.76E-02
-300	-180	160	-6.13E-02	1.16E+00	3.56E-02
-300	-180	180	-6.98E-02	1.17E+00	4.14E-02
-300	-180	200	-7.85E-02	1.18E+00	5.18E-02
-300	-180	220	-8.92E-02	1.19E+00	6.82E-02
-300	-180	240	-1.10E-01	1.20E+00	9.38E-02
-300	-180	260	-1.32E-01	1.22E+00	1.14E-01
-300	-180	280	-1.51E-01	1.24E+00	1.47E-01
-300	-180	300	-1.93E-01	1.24E+00	1.98E-01
-300	-160	-300	-1.91E-01	1.17E+00	-1.89E-01
-300	-160	-280	-1.59E-01	1.15E+00	-1.68E-01
-300	-160	-260	-1.37E-01	1.16E+00	-1.26E-01
-300	-160	-240	-1.14E-01	1.15E+00	-9.17E-02
-300	-160	-220	-9.68E-02	1.15E+00	-7.51E-02
-300	-160	-200	-9.00E-02	1.14E+00	-6.30E-02
-300	-160	-180	-8.14E-02	1.14E+00	-5.05E-02
-300	-160	-160	-7.30E-02	1.13E+00	-3.85E-02
-300	-160	-140	-6.96E-02	1.14E+00	-2.30E-02
-300	-160	-120	-5.91E-02	1.12E+00	-2.54E-02
-300	-160	-100	-5.43E-02	1.11E+00	-1.82E-02
-300	-160	-80	-4.95E-02	1.11E+00	-1.10E-02
-300	-160	-60	-4.62E-02	1.11E+00	-1.49E-02
-300	-160	-40	-3.95E-02	1.11E+00	-3.30E-03
-300	-160	-20	-4.11E-02	1.11E+00	-4.63E-03
-300	-160	0	-3.85E-02	1.11E+00	-2.24E-03
-300	-160	20	-4.68E-02	1.11E+00	7.85E-03
-300	-160	40	-4.85E-02	1.12E+00	-2.76E-03
-300	-160	60	-4.37E-02	1.11E+00	9.91E-03
-300	-160	80	-4.91E-02	1.11E+00	1.44E-02
-300	-160	100	-5.16E-02	1.11E+00	1.89E-02
-300	-160	120	-5.57E-02	1.12E+00	2.15E-02
-300	-160	140	-6.49E-02	1.12E+00	3.22E-02
-300	-160	160	-7.28E-02	1.12E+00	4.41E-02
-300	-160	180	-8.43E-02	1.12E+00	5.32E-02
-300	-160	200	-9.33E-02	1.14E+00	6.17E-02
-300	-160	220	-1.17E-01	1.15E+00	9.00E-02
-300	-160	240	-1.23E-01	1.16E+00	1.02E-01
-300	-160	260	-1.43E-01	1.16E+00	1.25E-01
-300	-160	280	-1.62E-01	1.15E+00	1.60E-01
-300	-160	300	-1.83E-01	1.16E+00	1.89E-01
-300	-140	-300	-1.87E-01	1.08E+00	-1.89E-01
-300	-140	-280	-1.64E-01	1.10E+00	-1.54E-01
-300	-140	-260	-1.40E-01	1.11E+00	-1.28E-01
-300	-140	-240	-1.22E-01	1.10E+00	-9.10E-02
-300	-140	-220	-1.03E-01	1.11E+00	-7.92E-02
-300	-140	-200	-9.53E-02	1.10E+00	-6.62E-02
-300	-140	-180	-8.73E-02	1.10E+00	-5.27E-02
-300	-140	-160	-7.83E-02	1.10E+00	-4.75E-02
-300	-140	-140	-6.88E-02	1.10E+00	-3.53E-02
-300	-140	-120	-6.45E-02	1.09E+00	-2.74E-02
-300	-140	-100	-6.03E-02	1.09E+00	-2.08E-02
-300	-140	-80	-5.62E-02	1.09E+00	-1.43E-02
-300	-140	-60	-5.74E-02	1.08E+00	-1.49E-02
